date,lg_chem_open,lg_chem_close,lg_chem_high,lg_chem_low,lg_innotek_open,lg_innotek_close,lg_innotek_high,lg_innotek_low,ko_cases,ko_deaths,se_cases,se_deaths
2020-01-02,321000,314000,321000,313500,140000,139000,141500,138500,0.0,0.0,0.0,0.0
2020-01-03,317000,311000,318500,310500,141000,139500,143000,138000,0.0,0.0,0.0,0.0
2020-01-06,308000,307000,311000,306500,138500,142000,142500,136000,0.0,0.0,0.0,0.0
2020-01-07,306000,311000,313500,305000,142500,141000,143000,139500,0.0,0.0,0.0,0.0
2020-01-08,306000,302000,307000,301500,139000,137500,139500,135500,0.0,0.0,0.0,0.0
2020-01-09,305000,306500,307500,304500,139500,145500,145500,139500,0.0,0.0,0.0,0.0
2020-01-10,307000,325000,325500,306500,146000,148500,151000,145000,0.0,0.0,0.0,0.0
2020-01-13,328500,332500,335000,327500,148000,154000,154000,147000,0.0,0.0,0.0,0.0
2020-01-14,335000,333500,343000,331000,154500,151000,155000,150000,0.0,0.0,0.0,0.0
2020-01-15,330500,328500,333000,327000,150000,148000,151500,146500,0.0,0.0,0.0,0.0
2020-01-16,328500,329000,330000,324000,147000,147500,149000,146000,0.0,0.0,0.0,0.0
2020-01-17,330500,333000,333000,330000,149500,148500,151000,147500,0.0,0.0,0.0,0.0
2020-01-20,340500,354000,355000,340000,149500,147500,151500,147500,0.0,0.0,0.0,0.0
2020-01-21,358000,344500,359000,344500,148500,148000,149500,147000,0.0,0.0,0.0,0.0
2020-01-22,347500,351500,353000,344500,148000,148000,148500,145500,0.0,0.0,0.0,0.0
2020-01-23,347500,348500,354000,347000,147000,152500,153500,146000,0.0,0.0,0.0,0.0
2020-01-24,,,,,,,,,1.0,0.0,0.0,0.0
2020-01-25,,,,,,,,,0.0,0.0,0.0,0.0
2020-01-26,,,,,,,,,0.0,0.0,0.0,0.0
2020-01-27,,,,,,,,,2.0,0.0,0.0,0.0
2020-01-28,338000,336500,339500,335000,147000,151500,153000,146000,0.0,0.0,0.0,0.0
2020-01-29,338000,335000,339000,332500,154500,158000,160000,154500,0.0,0.0,0.0,0.0
2020-01-30,338500,343500,347500,338500,160000,155500,163500,154000,3.0,0.0,0.0,0.0
2020-01-31,349000,337500,354000,335000,156500,152000,158500,151000,4.0,0.0,0.0,0.0
2020-02-01,,,,,,,,,1.0,0.0,0.0,0.0
2020-02-02,,,,,,,,,3.0,0.0,0.0,0.0
2020-02-03,328500,350000,351500,325500,149000,150500,151000,142500,0.0,0.0,0.0,0.0
2020-02-04,364500,379500,385000,361500,148000,155000,155000,147500,1.0,0.0,0.0,0.0
2020-02-05,391000,382000,391500,377000,156000,152000,161000,151000,5.0,0.0,0.0,0.0
2020-02-06,374500,382000,385000,372500,154000,156000,157500,151000,3.0,0.0,0.0,0.0
2020-02-07,377000,386500,391500,377000,153500,150500,154500,150000,0.0,0.0,0.0,0.0
2020-02-08,,,,,,,,,0.0,0.0,0.0,0.0
2020-02-09,,,,,,,,,3.0,0.0,0.0,0.0
2020-02-10,382500,387000,390000,381000,148500,147000,148500,144000,0.0,0.0,0.0,0.0
2020-02-11,394500,413500,420000,393500,149500,151000,152500,148500,1.0,0.0,0.0,0.0
2020-02-12,408500,408000,412000,403500,151000,151000,152000,149000,0.0,0.0,0.0,0.0
2020-02-13,408500,411500,418000,408000,153500,154000,158000,152500,0.0,0.0,0.0,0.0
2020-02-14,416500,413500,420000,412000,156000,155000,159000,153500,0.0,0.0,0.0,0.0
2020-02-15,,,,,,,,,0.0,0.0,0.0,0.0
2020-02-16,,,,,,,,,1.0,0.0,0.0,0.0
2020-02-17,420500,419500,422500,409000,155000,155500,159000,153000,1.0,0.0,14.0,0.0
2020-02-18,418000,418000,422000,415000,154000,148500,154000,148000,9.0,0.0,0.0,0.0
2020-02-19,420500,404000,421500,403500,149000,149500,150500,145500,7.0,0.0,1.0,0.0
2020-02-20,408500,419000,422000,406000,151000,147000,151500,146500,58.0,1.0,7.0,0.0
2020-02-21,407000,407000,416500,406500,144000,149000,149500,143500,100.0,0.0,5.0,0.0
2020-02-22,,,,,,,,,229.0,2.0,3.0,0.0
2020-02-23,,,,,,,,,175.0,3.0,1.0,0.0
2020-02-24,392000,395000,400000,391500,145000,144000,148000,143500,235.0,1.0,4.0,0.0
2020-02-25,395500,399500,400500,391500,143000,146500,148000,142000,134.0,3.0,6.0,0.0
2020-02-26,394000,395000,398000,387000,142500,145000,148500,140500,284.0,2.0,8.0,0.0
2020-02-27,394000,388000,398000,384000,143500,143500,147500,142000,505.0,1.0,7.0,0.0
2020-02-28,376500,368000,380000,366500,139500,130000,140500,128500,571.0,0.0,6.0,0.0
2020-02-29,,,,,,,,,813.0,4.0,15.0,0.0
2020-03-01,,,,,,,,,586.0,1.0,10.0,0.0
2020-03-02,368500,377000,385000,362500,130500,137500,140500,129000,476.0,4.0,4.0,0.0
2020-03-03,393000,386500,398500,384500,143500,136000,145000,136000,600.0,6.0,7.0,0.0
2020-03-04,383500,392000,398500,382000,132500,136000,138500,132500,516.0,4.0,1.0,0.0
2020-03-05,407500,406000,412000,402000,140000,140000,142500,138000,438.0,3.0,4.0,0.0
2020-03-06,401000,400000,404000,395500,138000,136000,139000,135000,518.0,9.0,2.0,0.0
2020-03-07,,,,,,,,,483.0,0.0,3.0,0.0
2020-03-08,,,,,,,,,367.0,6.0,12.0,0.0
2020-03-09,383000,374000,385500,373500,132000,126000,132500,124500,248.0,1.0,10.0,0.0
2020-03-10,371000,373500,380000,368000,123500,127500,128500,122500,131.0,3.0,11.0,0.0
2020-03-11,374000,365000,377500,362000,127000,120500,127000,120000,242.0,6.0,52.0,0.0
2020-03-12,359000,341500,367000,334500,117000,113000,120000,111500,114.0,6.0,19.0,0.0
2020-03-13,315000,340500,343500,313000,105000,105500,109500,100500,110.0,1.0,13.0,0.0
2020-03-14,,,,,,,,,107.0,5.0,13.0,0.0
2020-03-15,,,,,,,,,76.0,3.0,9.0,0.0
2020-03-16,343000,312500,348000,312500,106500,96500,107000,96500,74.0,0.0,6.0,0.0
2020-03-17,295000,306500,315500,294500,92000,93700,98500,90600,84.0,6.0,12.0,0.0
2020-03-18,307500,280000,312000,280000,94700,83200,95300,83200,93.0,3.0,5.0,0.0
2020-03-19,284500,230000,285500,230000,86100,76300,89400,75700,152.0,7.0,12.0,0.0
2020-03-20,246000,272500,273000,242000,80600,99100,99100,78600,87.0,3.0,17.0,0.0
2020-03-21,,,,,,,,,147.0,8.0,15.0,0.0
2020-03-22,,,,,,,,,98.0,2.0,10.0,0.0
2020-03-23,249500,268000,286500,248500,92500,91300,97000,86200,64.0,7.0,6.0,0.0
2020-03-24,283500,288000,297500,274000,95800,107500,114500,94600,76.0,9.0,4.0,0.0
2020-03-25,310000,307500,316500,296500,115000,113500,126000,111000,100.0,6.0,13.0,0.0
2020-03-26,309500,299500,314000,297500,113500,107500,115000,107500,104.0,5.0,13.0,0.0
2020-03-27,313000,303500,314500,292500,114000,108500,116000,103000,91.0,8.0,12.0,0.0
2020-03-28,,,,,,,,,146.0,5.0,18.0,0.0
2020-03-29,,,,,,,,,105.0,8.0,20.0,0.0
2020-03-30,291000,303000,307000,289500,104500,114000,116000,104000,78.0,6.0,16.0,0.0
2020-03-31,306500,305000,309500,298500,117500,114000,117500,111000,125.0,4.0,24.0,0.0
2020-04-01,305000,292000,307000,292000,114000,108500,117500,108500,101.0,3.0,24.0,0.0
2020-04-02,292000,291000,294500,280000,111000,113000,114500,107000,89.0,4.0,14.0,0.0
2020-04-03,300000,290500,304500,285500,115000,110000,115000,109500,86.0,5.0,18.0,0.0
2020-04-04,,,,,,,,,94.0,3.0,22.0,0.0
2020-04-05,,,,,,,,,81.0,6.0,24.0,0.0
2020-04-06,295000,296500,297000,290500,112000,122000,122500,111500,47.0,3.0,11.0,0.0
2020-04-07,307000,309000,309500,301000,126000,128500,130000,123000,47.0,6.0,4.0,0.0
2020-04-08,308500,313000,319500,306500,129000,126500,131500,126500,53.0,8.0,11.0,2.0
2020-04-09,319000,324500,324500,317000,129000,125000,130000,123000,39.0,4.0,12.0,0.0
2020-04-10,324500,324000,326000,318500,124000,124000,124000,119000,27.0,4.0,5.0,0.0
2020-04-11,,,,,,,,,30.0,3.0,4.0,0.0
2020-04-12,,,,,,,,,32.0,3.0,3.0,0.0
2020-04-13,325500,315000,325500,314000,123000,117500,123000,117500,25.0,3.0,8.0,0.0
2020-04-14,327500,326500,329000,321000,120500,123000,123500,120000,27.0,5.0,2.0,0.0
2020-04-15,,,,,,,,,27.0,3.0,5.0,0.0
2020-04-16,327500,343000,345000,327000,121000,126000,126000,120500,22.0,4.0,2.0,0.0
2020-04-17,352500,362500,376000,352000,129000,132500,133500,128500,22.0,1.0,2.0,0.0
2020-04-18,,,,,,,,,18.0,2.0,1.0,0.0
2020-04-19,,,,,,,,,8.0,2.0,2.0,0.0
2020-04-20,362500,351500,369500,351000,129500,130000,132000,128500,13.0,2.0,0.0,0.0
2020-04-21,348000,354000,359500,343500,130000,128000,131000,125500,9.0,1.0,2.0,0.0
2020-04-22,346500,355000,357000,345500,126500,129500,129500,123500,11.0,1.0,2.0,0.0
2020-04-23,360000,361000,361500,356500,130000,128500,131500,128500,8.0,2.0,0.0,0.0
2020-04-24,358000,353500,358500,350000,128500,126000,130500,126000,6.0,0.0,0.0,0.0
2020-04-25,,,,,,,,,10.0,0.0,1.0,0.0
2020-04-26,,,,,,,,,10.0,2.0,0.0,0.0
2020-04-27,353500,353500,357000,348000,127500,136000,137500,127000,10.0,1.0,0.0,0.0
2020-04-28,365000,362500,371500,354000,136500,136500,138500,134500,14.0,1.0,4.0,0.0
2020-04-29,368000,376500,376500,365000,136500,132000,136500,131500,9.0,2.0,0.0,0.0
2020-04-30,,,,,,,,,4.0,1.0,0.0,0.0
2020-05-01,,,,,,,,,9.0,1.0,1.0,0.0
2020-05-02,,,,,,,,,6.0,2.0,1.0,0.0
2020-05-03,,,,,,,,,13.0,0.0,2.0,0.0
2020-05-04,361000,360000,366000,358000,128000,131500,133000,127000,8.0,2.0,0.0,0.0
2020-05-05,,,,,,,,,3.0,2.0,0.0,0.0
2020-05-06,366500,361000,366500,356500,133000,131500,133000,129500,2.0,1.0,0.0,0.0
2020-05-07,358000,354000,361000,352500,130500,132500,133500,130000,4.0,1.0,0.0,0.0
2020-05-08,349000,352500,356500,346500,134500,137500,140500,133500,12.0,0.0,0.0,0.0
2020-05-09,,,,,,,,,18.0,0.0,12.0,0.0
2020-05-10,,,,,,,,,34.0,0.0,14.0,0.0
2020-05-11,351500,346500,354000,345000,139000,136000,139500,136000,35.0,0.0,20.0,0.0
2020-05-12,346000,338000,346000,336500,136500,142000,144000,136000,27.0,2.0,12.0,0.0
2020-05-13,330000,352000,352500,330000,139500,146000,146000,139000,26.0,1.0,12.0,1.0
2020-05-14,348000,344500,351000,341000,145000,143000,149000,143000,29.0,1.0,4.0,1.0
2020-05-15,348500,346500,349500,343000,145500,146000,147500,142000,27.0,0.0,14.0,0.0
2020-05-16,,,,,,,,,19.0,2.0,5.0,0.0
2020-05-17,,,,,,,,,13.0,0.0,5.0,0.0
2020-05-18,349500,354000,356000,346000,145000,138500,145000,136500,15.0,1.0,1.0,0.0
2020-05-19,363500,357000,364000,356500,142000,139500,142500,138000,13.0,0.0,6.0,0.0
2020-05-20,352500,362500,362500,351500,139500,142000,143500,139000,32.0,0.0,10.0,0.0
2020-05-21,367000,377500,385000,365000,143500,141000,143500,139000,12.0,1.0,4.0,0.0
2020-05-22,382000,377000,385000,373500,141000,137500,141000,136500,20.0,0.0,2.0,0.0
2020-05-23,,,,,,,,,23.0,2.0,4.0,0.0
2020-05-24,,,,,,,,,25.0,0.0,6.0,0.0
2020-05-25,380000,389500,389500,375000,138500,137500,139000,134500,16.0,1.0,6.0,0.0
2020-05-26,398500,414000,416000,398000,138000,142000,142000,138000,19.0,2.0,9.0,0.0
2020-05-27,406000,395500,412000,394500,141500,140500,143000,139500,40.0,0.0,19.0,0.0
2020-05-28,403000,388500,404000,380000,141000,144000,148500,140500,79.0,0.0,24.0,0.0
2020-05-29,381500,390500,391000,381500,145000,147500,148000,143000,58.0,0.0,20.0,0.0
2020-05-30,,,,,,,,,39.0,0.0,9.0,0.0
2020-05-31,,,,,,,,,27.0,1.0,6.0,0.0
2020-06-01,391000,396000,401000,389500,147500,153000,154000,146000,35.0,1.0,1.0,0.0
2020-06-02,400000,395000,402000,393000,152000,154000,158000,150500,38.0,1.0,14.0,0.0
2020-06-03,399000,400500,401500,395000,157000,152000,157000,152000,49.0,1.0,19.0,0.0
2020-06-04,400500,417500,420000,399500,153500,153000,156000,151000,39.0,0.0,14.0,0.0
2020-06-05,421500,434000,434000,421000,153000,153500,155500,151000,39.0,0.0,15.0,0.0
2020-06-06,,,,,,,,,51.0,0.0,23.0,0.0
2020-06-07,,,,,,,,,57.0,0.0,27.0,0.0
2020-06-08,440000,434000,446000,432000,156000,159500,160000,154000,38.0,0.0,22.0,0.0
2020-06-09,439000,432500,441500,425500,160500,157500,161500,155500,38.0,1.0,19.0,0.0
2020-06-10,432500,440000,442000,429500,159500,164500,166000,159000,50.0,2.0,12.0,0.0
2020-06-11,447000,463000,469500,446000,165500,167000,172000,164000,45.0,0.0,21.0,0.0
2020-06-12,436500,462000,466000,436000,159500,173000,173000,158500,56.0,1.0,25.0,0.0
2020-06-13,,,,,,,,,48.0,0.0,28.0,0.0
2020-06-14,,,,,,,,,33.0,0.0,12.0,0.0
2020-06-15,455000,428000,460500,428000,171000,160000,172500,159000,37.0,0.0,7.0,0.0
2020-06-16,445000,487500,487500,444000,166000,169500,169500,163000,34.0,1.0,12.0,0.0
2020-06-17,484000,491500,512000,481500,172500,169500,174500,164000,43.0,1.0,13.0,1.0
2020-06-18,491500,491000,494500,481500,167500,167000,169500,165500,59.0,1.0,25.0,1.0
2020-06-19,499500,512000,512000,488000,169000,166500,169000,162000,49.0,0.0,18.0,0.0
2020-06-20,,,,,,,,,67.0,0.0,14.0,0.0
2020-06-21,,,,,,,,,48.0,0.0,17.0,0.0
2020-06-22,510000,506000,519000,502000,163500,161000,165500,161000,17.0,0.0,5.0,0.0
2020-06-23,512000,504000,518000,500000,164500,164000,170000,162500,46.0,1.0,6.0,0.0
2020-06-24,514000,516000,520000,510000,166000,168000,169500,163000,51.0,0.0,11.0,0.0
2020-06-25,506000,499000,513000,499000,165000,162500,166500,162000,28.0,1.0,9.0,1.0
2020-06-26,508000,501000,509000,488500,165500,171500,171500,162500,39.0,0.0,17.0,0.0
2020-06-27,,,,,,,,,51.0,0.0,17.0,0.0
2020-06-28,,,,,,,,,62.0,0.0,14.0,0.0
2020-06-29,492000,489500,501000,486000,168500,171500,173000,166500,42.0,0.0,7.0,0.0
2020-06-30,501000,490500,502000,487500,174500,174500,179000,173500,42.0,0.0,7.0,0.0
